ID,StartStation,EndStation,Distance,Unit,Color,Line
1,Hyde Park Corner,Green Park,780.57,m,#0015ff,Piccadilly Line
2,Green Park,Piccadilly Circus,688.27,m,#0015ff,Piccadilly Line
3,Piccadilly Circus,Leicester Square,440.30,m,#0015ff,Piccadilly Line
4,Leicester Square,Covent Garden,321.99,m,#0015ff,Piccadilly Line
5,Covent Garden,Holborn,565.79,m,#0015ff,Piccadilly Line
6,Victoria,Green Park,1.22,km,#2e9ddb,Victoria Line
7,Green Park,Oxford Circus,917.90,m,#2e9ddb,Victoria Line
8,Oxford Circus,Warren Street,1.05,km,#2e9ddb,Victoria Line
9,Warren Street,Seven Sisters,7.89,km,#2e9ddb,Victoria Line
10,Seven Sisters,Blackhorse Road,2.17,km,#2e9ddb,Victoria Line
11,Embankment,Charing Cross,282.80,m,#aa5516,Bakerloo Line
11,Waterloo,Embankment,667.36,m,#aa5516,Bakerloo Line
12,Charing Cross,Piccadilly Circus,594.89,m,#aa5516,Bakerloo Line
13,Piccadilly Circus,Oxford Circus,776.44,m,#aa5516,Bakerloo Line
14,Oxford Circus,Regens Park,976.43,m,#aa5516,Bakerloo Line
15,Regens Park,Baker Street,712.99,m,#aa5516,Bakerloo Line
16,Waterloo,Piccadilly Circus,1.54,km,#aa5516,Bakerloo Line
17,Waterloo,Charing Cross,959.37,m,#262324,Northern Line
18,Charing Cross,Leicester Square,359.88,m,#262324,Northern Line
19,Leicester Square,Tottenham Court Road,532.22,m,#262324,Northern Line
19,Tottenham Court Road,Goodge Street,565.46,m,#262324,Northern Line
20,Goodge Street,Warren Street,517.07,m,#262324,Northern Line
21,Warren Street,Mornington Crescent,1.08,km,#262324,Northern Line
22,Sloane Square,Victoria,950.38,m,#fccc0a,Circle Line
23,Victoria,St. James's Park,808.28,m,#fccc0a,Circle Line
24,St. James's Park,Embankment,1.16,km,#fccc0a,Circle Line
24,Embankment,Temple,679.73,m,#fccc0a,Circle Line
25,Oxford Circus,Tottenham Court Road,827.46,m,#ff0000,
26,Tottenham Court Road,Holborn,703.98,m,#ff0000,Central Line
27,Bond Street,Oxford Circus,498.70,m,#ff0000,Central Line
28,Marble Arch,Bond Street,654.79,m,#ff0000,Central Line
29,Holborn,Chancery Lane,593.07,m,#ff0000,Central Line
